iter	Passed	Remaining
0	1	1399
1	2	1398
2	4	1395
3	5	1412
4	7	1440
5	8	1462
6	10	1462
7	11	1451
8	13	1442
9	14	1446
10	16	1446
11	17	1438
12	18	1429
13	20	1421
14	21	1430
15	23	1424
16	24	1431
17	26	1427
18	27	1422
19	28	1417
20	30	1416
21	31	1412
22	33	1407
23	34	1403
24	35	1399
25	37	1407
26	39	1417
27	40	1415
28	42	1413
29	43	1410
30	45	1409
31	46	1406
32	47	1402
33	49	1398
34	50	1396
35	51	1392
36	53	1395
37	55	1397
38	60	1495
39	62	1491
40	63	1488
41	64	1482
42	66	1477
43	67	1472
44	69	1476
45	71	1478
46	72	1477
47	74	1476
48	75	1474
49	77	1471
50	78	1466
51	80	1464
52	81	1461
53	83	1457
54	84	1454
55	86	1457
56	88	1457
57	89	1456
58	91	1453
59	92	1449
60	94	1447
61	95	1443
62	96	1439
63	98	1436
64	99	1433
65	101	1435
66	102	1433
67	104	1430
68	105	1427
69	107	1423
70	108	1421
71	110	1418
72	111	1414
73	112	1412
74	114	1411
75	115	1408
76	117	1408
77	119	1408
78	120	1406
79	122	1405
80	123	1403
81	125	1400
82	126	1397
83	128	1395
84	129	1393
85	130	1391
86	132	1388
87	133	1388
88	135	1386
89	137	1386
90	138	1384
91	139	1381
92	141	1379
93	142	1377
94	144	1374
95	145	1371
96	147	1369
97	148	1367
98	150	1366
99	151	1364
100	153	1365
101	155	1365
102	156	1362
103	157	1360
104	159	1357
105	160	1355
106	162	1352
107	163	1350
108	164	1347
109	166	1347
110	168	1346
111	169	1345
112	171	1343
113	172	1340
114	173	1338
115	175	1335
116	176	1333
117	178	1331
118	179	1328
119	180	1325
120	182	1324
121	183	1322
122	185	1319
123	186	1317
124	187	1315
125	189	1312
126	190	1310
127	192	1308
128	193	1306
129	194	1303
130	196	1301
131	197	1301
132	199	1299
133	200	1297
134	202	1294
135	203	1292
136	204	1290
137	206	1288
138	207	1286
139	209	1285
140	210	1282
141	211	1280
142	213	1278
143	214	1277
144	216	1275
145	217	1273
146	219	1270
147	220	1268
148	221	1266
149	223	1264
150	224	1262
151	225	1260
152	227	1258
153	228	1257
154	230	1255
155	231	1254
156	233	1252
157	234	1250
158	236	1248
159	237	1246
160	238	1245
161	240	1243
162	241	1241
163	243	1239
164	244	1237
165	246	1238
166	247	1235
167	249	1234
168	250	1232
169	251	1230
170	253	1228
171	254	1226
172	256	1223
173	257	1221
174	258	1219
175	260	1217
176	261	1216
177	262	1214
178	264	1212
179	265	1210
180	267	1208
181	268	1206
182	269	1205
183	271	1203
184	272	1201
185	274	1200
186	275	1198
187	277	1196
188	278	1194
189	279	1192
190	281	1190
191	282	1189
192	283	1187
193	285	1185
194	286	1184
195	288	1182
196	289	1180
197	291	1178
198	292	1177
199	293	1175
200	295	1173
201	296	1171
202	298	1170
203	299	1168
204	300	1166
205	302	1164
206	303	1162
207	304	1161
208	306	1159
209	307	1157
210	309	1156
211	310	1154
212	311	1152
213	313	1150
214	314	1148
215	316	1147
216	317	1147
217	319	1145
218	320	1143
219	322	1141
220	323	1141
221	325	1141
222	327	1141
223	330	1143
224	332	1143
225	333	1142
226	334	1140
227	336	1138
228	337	1137
229	339	1135
230	340	1135
231	342	1134
232	344	1134
233	346	1135
234	348	1134
235	350	1134
236	352	1134
237	353	1133
238	355	1131
239	357	1130
240	358	1128
241	360	1129
242	362	1128
243	363	1127
244	365	1125
245	366	1123
246	368	1122
247	369	1120
248	371	1119
249	372	1117
250	374	1116
251	375	1115
252	377	1114
253	379	1113
254	380	1111
255	382	1111
256	384	1110
257	385	1108
258	386	1107
259	388	1106
260	390	1104
261	391	1104
262	393	1103
263	395	1101
264	396	1099
265	398	1099
266	400	1098
