iter	MultiClass
0	1.06855157
1	1.038526183
2	1.00771648
3	0.9779918865
4	0.9526480405
5	0.9289795113
6	0.901884262
7	0.8807014402
8	0.8598194451
9	0.8409508543
10	0.8184274299
11	0.8014098135
12	0.7849441892
13	0.7697927969
14	0.7520742465
15	0.7353065747
16	0.7214280738
17	0.7045026317
18	0.6936078269
19	0.6794386932
20	0.6667805623
21	0.6541932704
22	0.6416804195
23	0.6264594947
24	0.6123001876
25	0.6008901572
26	0.5889499619
27	0.5780571125
28	0.5646520451
29	0.5557821187
30	0.5438199837
31	0.5364600093
32	0.5286488975
33	0.5203436281
34	0.5108274309
35	0.5044215608
36	0.4944118685
37	0.4882092254
38	0.4819376908
39	0.4768182256
40	0.4683268934
41	0.4586177633
42	0.4532493967
43	0.4477945788
44	0.442657589
45	0.4379880066
46	0.43279305
47	0.4266370586
48	0.4226067741
49	0.4177420179
50	0.411654449
51	0.4050433526
52	0.4001602277
53	0.3937208463
54	0.3901950923
55	0.384137171
56	0.3808677318
57	0.3777096058
58	0.372601548
59	0.3678870101
60	0.3644200772
61	0.3616086131
62	0.357502602
63	0.3552179809
64	0.3529098317
65	0.3483571333
66	0.3457649095
67	0.3418041046
68	0.3380673366
69	0.3341275325
70	0.3295849683
71	0.3260945471
72	0.3220167321
73	0.3198230506
74	0.316555676
75	0.3128301542
76	0.3102753314
77	0.305703651
78	0.3025170864
79	0.3008260475
80	0.2994162431
81	0.2970072239
82	0.2957112488
83	0.2929426081
84	0.2916786693
85	0.2881824823
86	0.2849995944
87	0.282895413
88	0.2804976878
89	0.2790082997
90	0.2774274912
91	0.2754640807
92	0.2736386635
93	0.2714761746
94	0.2700774907
95	0.2684576749
96	0.2658224703
97	0.263793792
98	0.2625410924
99	0.2611571943
100	0.2584931667
101	0.2561087804
102	0.2529761152
103	0.2519277429
104	0.2497073491
105	0.2488007652
106	0.2473154119
107	0.2457707316
108	0.2449424799
109	0.2422886537
110	0.241334822
111	0.2397716939
112	0.2383183908
113	0.2370804894
114	0.2361972267
115	0.2345158906
116	0.2312412021
117	0.2300602347
118	0.2266553885
119	0.226060273
120	0.2245732897
121	0.223181452
122	0.2215252049
123	0.2202187644
124	0.2188190352
125	0.2176010558
126	0.2164517934
127	0.215093804
128	0.2130931376
129	0.2123953735
130	0.2116718855
131	0.2103059797
132	0.2076454205
133	0.2060284042
134	0.2042894236
135	0.2025825403
136	0.2012663048
137	0.1995401127
138	0.1978123774
139	0.196384104
140	0.1958763165
141	0.1952197464
142	0.1936451307
143	0.1912308656
144	0.189901605
145	0.187744738
146	0.1866898364
147	0.1850041415
148	0.1830924033
149	0.1824706688
150	0.1819480216
151	0.1805886894
152	0.1792250378
153	0.1779001518
154	0.176141552
155	0.1751361934
156	0.174788035
157	0.1737476239
158	0.173094214
159	0.1713127956
160	0.1698026294
161	0.1689054135
162	0.1687731993
163	0.1674157293
164	0.1658107524
165	0.1650883224
166	0.1631468659
167	0.1619286099
168	0.1611188979
169	0.1598516199
170	0.1580342402
171	0.1561535318
172	0.154600289
173	0.1536941167
174	0.1531295562
175	0.1523776188
176	0.151219629
177	0.1506493436
178	0.1491100541
179	0.1482689021
180	0.1471114899
181	0.145738319
182	0.1439638831
183	0.1431521626
184	0.141942976
185	0.1411784433
186	0.1396173245
187	0.1387087352
188	0.1374629063
189	0.136230479
190	0.1355097459
191	0.1350155952
192	0.1338951145
193	0.1330277993
194	0.132019902
195	0.1310444098
196	0.1304443426
197	0.1298802856
198	0.1287520017
199	0.1283422855
200	0.1274782842
201	0.1259475137
202	0.1249998904
203	0.1243759081
204	0.1237558695
205	0.1227855433
206	0.1219051671
207	0.1209601506
208	0.1200273605
209	0.1191164555
210	0.1181925438
211	0.1172098613
212	0.1162882141
213	0.1153869186
214	0.1142201162
215	0.113412223
216	0.1121226566
217	0.1109763728
218	0.1102198329
219	0.1094059342
220	0.1085395434
221	0.1077427263
222	0.1070459603
223	0.1066169253
224	0.105822503
225	0.1050238999
226	0.10421642
227	0.1035198219
228	0.102430436
229	0.1018980263
230	0.1011575157
231	0.1003927047
232	0.09975037523
233	0.09928569128
234	0.09846786974
235	0.09782164947
236	0.09714519567
237	0.09617988661
238	0.09548495974
239	0.09478358187
240	0.09426473169
241	0.09371302369
242	0.09321978174
243	0.0927010452
244	0.09174048661
245	0.09111045441
246	0.09066623961
247	0.09001751777
248	0.08953744505
249	0.08917368231
250	0.08855869473
251	0.08793732656
252	0.08740769316
253	0.08680220646
254	0.086014292
255	0.08542676311
256	0.08487924508
257	0.08448495647
258	0.08392201031
259	0.08333543917
260	0.08284590739
261	0.08236456863
262	0.08182937207
263	0.0812174747
264	0.08068000155
265	0.08021236126
266	0.07943824095
267	0.07897977993
268	0.07848466415
269	0.07773901693
270	0.07711477229
271	0.07661884767
272	0.07602921414
273	0.07554415076
274	0.07484237595
275	0.07423225553
276	0.0738285377
277	0.07353869874
278	0.07329433116
279	0.07271371171
280	0.07231437855
281	0.07187043958
282	0.07147258453
283	0.07096724645
284	0.07038857092
285	0.07022247088
286	0.06980106234
287	0.06947058996
288	0.06911123843
289	0.06869608697
290	0.06812270833
291	0.06779271171
292	0.06744761348
293	0.06709958059
294	0.06651474289
295	0.06622289777
296	0.06584225946
297	0.06526942185
298	0.06496987614
299	0.06459355735
300	0.06421916906
301	0.06390478808
302	0.06354796833
303	0.06324857699
304	0.06303751296
305	0.06267596397
306	0.06226046137
307	0.0619489652
308	0.06150329337
309	0.06110194996
310	0.06079563427
311	0.06045001617
312	0.06014361925
313	0.05965289707
314	0.05936027783
315	0.0590714026
316	0.0587486333
317	0.05826806248
318	0.0579902255
319	0.0575946904
320	0.05732190552
321	0.05706137526
322	0.05675854596
323	0.05636084679
324	0.05599471034
325	0.05562723388
326	0.05533106377
327	0.05516911734
328	0.05487497069
329	0.05451235427
330	0.05426132761
331	0.05387413629
332	0.05363580482
333	0.0534052351
334	0.05312836276
335	0.05272697139
336	0.05237494646
337	0.05198316417
338	0.05178033908
339	0.0515508975
340	0.05129740163
341	0.05104444976
342	0.05083192387
343	0.05056320352
344	0.05035653636
345	0.04998909798
346	0.04977405711
347	0.0494449309
348	0.0492471483
349	0.04903537642
350	0.04878709572
351	0.04854696377
352	0.04819732069
353	0.04785212147
354	0.04761259279
355	0.04737898646
356	0.0470472373
357	0.04691918193
358	0.04658365278
359	0.04639994889
360	0.04617734133
361	0.04594103893
362	0.04572380104
363	0.04550705517
364	0.04523473527
365	0.04502365035
366	0.04479787636
367	0.04462964002
368	0.04432052058
369	0.04414053101
370	0.04399196551
371	0.04374474747
372	0.04356161396
373	0.04327257796
374	0.04307491618
375	0.04279149734
376	0.04261459799
377	0.04241556519
378	0.04231803193
379	0.04204265915
380	0.0419146158
381	0.04172353611
382	0.04150908577
383	0.04135880626
384	0.04117650772
385	0.04090507821
386	0.04072174667
387	0.04064842798
388	0.04046947617
389	0.04028999122
390	0.04012675129
391	0.04004255979
392	0.03986576515
393	0.03973777062
394	0.03958778201
395	0.03943334396
396	0.03918037558
397	0.03895073795
398	0.0388299261
399	0.03861660631
400	0.03837257769
401	0.03823320519
402	0.03812395834
403	0.03790495088
404	0.03767521534
405	0.03743956145
406	0.03733468687
407	0.0371800401
408	0.0370245282
409	0.0368545449
410	0.03670482597
411	0.03650571011
412	0.0363478833
413	0.03620062003
414	0.03606050175
415	0.0358495852
416	0.03566362357
417	0.03552100484
418	0.03533785417
419	0.03515156093
420	0.0350251285
421	0.03488512473
422	0.03475356767
423	0.03461753352
424	0.034487965
425	0.03434621708
426	0.03415237661
427	0.03410364662
428	0.03397186407
429	0.03385571993
430	0.03374721568
431	0.03361668458
432	0.03349329119
433	0.03338036389
434	0.03327157829
435	0.03320905179
436	0.03304200716
437	0.03286098433
438	0.03274296619
439	0.03259953709
440	0.03242279606
441	0.03226316992
442	0.03214260874
443	0.03203288737
444	0.0318760158
445	0.03176574106
446	0.03165935038
447	0.03154148492
448	0.03139191125
449	0.03127233819
450	0.03114090403
451	0.03104849796
452	0.03093504741
453	0.03077375645
454	0.03069714598
455	0.03053812598
456	0.03039414064
457	0.03028491186
458	0.03014312687
459	0.03003488342
460	0.02992760483
461	0.0298342476
462	0.02971279483
463	0.02963592773
464	0.0295451307
465	0.02946161605
466	0.0293623503
467	0.02925962453
468	0.02917758237
469	0.02907621845
470	0.02894619091
471	0.02885922098
472	0.02874404111
473	0.02864737905
474	0.02854958876
475	0.02846021498
476	0.02836370987
477	0.02825203837
478	0.02816634117
479	0.02807949775
480	0.02798517582
481	0.02790767514
482	0.027812665
