iter	MultiClassOneVsAll
0	0.6849554404
1	0.6745052563
2	0.6650429285
3	0.6532314251
4	0.6393088308
5	0.6296856629
6	0.6227133458
7	0.6091604219
8	0.6001105392
9	0.5937149296
10	0.5828638929
11	0.5759373322
12	0.565330421
13	0.5533630069
14	0.5420648206
15	0.5362857829
16	0.5293438071
17	0.522355632
18	0.5145426157
19	0.5083320854
20	0.5007203298
21	0.4942361638
22	0.4872408487
23	0.483818937
24	0.4750964835
25	0.4680934371
26	0.459700697
27	0.4532178926
28	0.446478944
29	0.4417250505
30	0.4364314384
31	0.4319460194
32	0.425318356
33	0.4186921623
34	0.411305497
35	0.4067863833
36	0.4009828139
37	0.396754731
38	0.3910855401
39	0.3870625683
40	0.3803073627
41	0.3738517724
42	0.3690628254
43	0.3659279698
44	0.3595746482
45	0.3569618669
46	0.3524672956
47	0.3473655799
48	0.3423334077
49	0.3384800593
50	0.3335670441
51	0.3290032751
52	0.3258172845
53	0.3228188213
54	0.3185983716
55	0.3166650147
56	0.3137909254
57	0.3105835463
58	0.3087944462
59	0.3052490356
60	0.303324974
61	0.2999296667
62	0.2969882201
63	0.2926389468
64	0.2882214317
65	0.2855715262
66	0.2821489388
67	0.2786021491
68	0.2760414911
69	0.2723732231
70	0.2697848345
71	0.2667200011
72	0.2647301185
73	0.2622068482
74	0.2581174104
75	0.2552555513
76	0.2528888751
77	0.249531846
78	0.2473437571
79	0.2449155662
80	0.2421393777
81	0.2400146718
82	0.2366904134
83	0.2340760473
84	0.2325055215
85	0.2301196318
86	0.2279548701
87	0.2253326323
88	0.2225766775
89	0.2212482611
90	0.219840079
91	0.2183008063
92	0.2156822125
93	0.2134295569
94	0.2118137517
95	0.2104470535
96	0.2089427087
97	0.2069262463
98	0.2053520601
99	0.2041349705
100	0.2021039653
101	0.200921489
102	0.1994350444
103	0.1975557544
104	0.1953175156
105	0.1938992139
106	0.192012221
107	0.1909592444
108	0.1890214591
109	0.1881448724
110	0.1871393757
111	0.1860825521
112	0.1841039533
113	0.1824989263
114	0.1815323357
115	0.1799913106
116	0.1778635668
117	0.1764677365
118	0.1747417564
119	0.1732919669
120	0.1722506304
121	0.1710596197
122	0.1698172609
123	0.1689342173
124	0.1680275343
125	0.1669646624
126	0.1660141591
127	0.1651009196
128	0.1633137592
129	0.1625388603
130	0.1617479035
131	0.1599158486
132	0.1587672878
133	0.1575415237
134	0.1564264265
135	0.1545879291
136	0.1533175093
137	0.1516613522
138	0.1508223971
139	0.150061549
140	0.1491479288
141	0.1480063472
142	0.1469040585
143	0.1456080256
144	0.1441136262
145	0.1434896338
146	0.1420779182
147	0.140750933
148	0.1397012379
149	0.1386559509
150	0.1374713866
151	0.1359973043
152	0.1346482813
153	0.1334947147
154	0.1329518503
155	0.132246471
156	0.1318905702
157	0.1313865054
158	0.1305014324
159	0.129529118
160	0.1284270296
161	0.1274911275
162	0.1270205348
163	0.126155859
164	0.1251562484
165	0.1241277651
166	0.1234581356
167	0.1225395072
168	0.121315171
169	0.1206321523
170	0.119537324
171	0.1184934063
172	0.1178911209
173	0.1169518937
174	0.116197174
175	0.1156107244
176	0.1146105835
177	0.1138090448
178	0.112846237
179	0.111857773
180	0.1111210486
181	0.1104910088
182	0.110187647
183	0.1096260168
184	0.1092777294
185	0.1085194069
186	0.1076622771
187	0.1070119736
188	0.1066696743
189	0.1060440476
190	0.1052956024
191	0.1042017098
192	0.1035031718
193	0.1025866233
194	0.1019626873
195	0.1012387341
196	0.1005732849
197	0.09977048518
198	0.09925353496
199	0.09865840707
200	0.0980230607
201	0.09740732215
202	0.0971258776
203	0.0966108856
204	0.09590062969
205	0.09502920813
206	0.09448862885
207	0.09386554791
208	0.0931836371
209	0.09260595504
210	0.09198988822
211	0.09145334553
212	0.09094912456
213	0.09032956862
214	0.08988187157
215	0.08931611011
216	0.08881575743
217	0.08825954303
218	0.08793276101
219	0.08748721843
220	0.08703845857
221	0.0865589338
222	0.0861255374
223	0.08568052767
224	0.08527227904
225	0.08481632396
226	0.08445060311
227	0.08402709889
228	0.08349994536
229	0.08287627227
230	0.08255354444
231	0.08206255211
232	0.08168815019
233	0.08121028564
234	0.08077714969
235	0.08035164312
236	0.07998748351
237	0.07946186544
238	0.07899884666
239	0.07860163745
240	0.07831144497
241	0.07794330505
242	0.07759191202
243	0.07729838971
244	0.07691464965
245	0.07659572805
246	0.07624703353
247	0.07581592125
248	0.07554550527
249	0.07523932359
250	0.07481324094
251	0.07455993848
252	0.07418867929
253	0.07380517183
254	0.07348879976
255	0.07315741258
256	0.07287179867
257	0.07257407414
258	0.07215431467
259	0.07186499634
260	0.07164016939
261	0.07130293398
262	0.07099528271
263	0.07072686512
264	0.07044893266
265	0.07017319239
266	0.06987096359
267	0.06954326258
268	0.06923364843
269	0.06894302745
270	0.06867865827
271	0.06849132778
272	0.06827780878
273	0.06799825162
274	0.06772728258
275	0.06758300085
276	0.06738862795
277	0.06710936321
278	0.06681515663
279	0.06656001591
280	0.06645321029
281	0.06619372724
282	0.06592682984
283	0.06565525375
284	0.06541210415
285	0.06512873716
286	0.06482890212
287	0.06457618665
288	0.06436973352
289	0.06400942664
290	0.06377858901
291	0.06352711881
292	0.06329432889
293	0.06311903338
294	0.06289729845
295	0.06268109057
296	0.06249744749
297	0.06228184919
298	0.06204408818
299	0.06188590873
300	0.06168693489
301	0.06153886406
302	0.06139246987
303	0.06118602366
304	0.06090768725
305	0.06069166338
306	0.0604908246
307	0.06029167104
308	0.06007448066
309	0.05989349863
310	0.05964908055
311	0.0594719064
312	0.05936690139
313	0.05911411039
314	0.05890481915
315	0.0586774222
316	0.05845526167
317	0.05824174214
318	0.05803196276
319	0.05780757395
320	0.05761844831
321	0.05743522156
322	0.0572495502
323	0.05705913179
324	0.05686180977
325	0.05667685288
326	0.05650150428
327	0.05632952089
328	0.05616755865
329	0.05601752917
330	0.05586297686
331	0.05570512678
332	0.05552504785
333	0.05535419593
334	0.05513923354
335	0.05498191619
336	0.05481275509
337	0.05466553988
338	0.05453594159
339	0.05437582671
340	0.05424175142
341	0.05406909389
342	0.05390153074
343	0.05373716109
344	0.05356656707
345	0.0533915905
346	0.05323929973
347	0.05310271217
348	0.05293775417
349	0.05277171542
350	0.05261968256
351	0.05238147174
352	0.0522779151
353	0.05212260046
354	0.05197429589
355	0.05186542885
356	0.05171603572
357	0.05157104347
358	0.05141750891
359	0.05126029899
360	0.05111615379
361	0.0510052142
362	0.05084112733
363	0.05067646135
364	0.05052372443
365	0.05038925262
366	0.05023687166
367	0.05011118896
368	0.04998191451
369	0.04984760228
370	0.04974127914
371	0.04964256713
372	0.04950270918
373	0.04937520802
374	0.04923320818
375	0.04907173233
376	0.04894190602
377	0.04879502955
378	0.04863394459
379	0.04848055943
380	0.048347079
381	0.048208485
382	0.04806377512
383	0.04791268029
384	0.04776992454
385	0.0476274213
386	0.04746501161
387	0.04731932309
388	0.04718625458
389	0.04706464831
390	0.04691974773
391	0.04680103638
392	0.04666747592
393	0.04654344205
394	0.046392199
395	0.04625369827
396	0.04612739929
397	0.04602924175
398	0.04590012789
399	0.04578275456
400	0.04566460562
401	0.04551567004
402	0.04539108421
403	0.04527241852
