iter	Passed	Remaining
0	12	12875
1	14	7342
2	16	5488
3	18	4574
4	20	4015
5	21	3632
6	23	3358
7	25	3161
8	27	3011
9	29	2888
10	31	2791
11	32	2702
12	34	2628
13	35	2498
14	37	2453
15	39	2408
16	41	2371
17	42	2334
18	44	2302
19	46	2281
20	48	2255
21	50	2233
22	52	2212
23	53	2190
24	55	2175
25	57	2159
26	59	2145
27	61	2129
28	63	2116
29	64	2101
30	66	2086
31	68	2074
32	70	2062
33	72	2051
34	74	2041
35	75	2030
36	77	2022
37	79	2013
38	81	2004
39	83	1999
40	85	1991
41	86	1983
42	88	1975
43	90	1969
44	92	1961
45	94	1954
46	96	1947
47	97	1941
48	99	1935
49	101	1929
50	103	1924
51	105	1918
52	107	1912
53	108	1907
54	110	1901
55	112	1896
56	114	1893
57	116	1887
58	118	1882
59	120	1881
60	121	1876
61	123	1872
62	125	1866
63	127	1861
64	129	1857
65	130	1852
66	132	1847
67	134	1843
68	136	1838
69	138	1833
70	139	1829
71	141	1824
72	143	1820
73	145	1815
74	147	1817
75	149	1812
76	150	1809
77	152	1804
78	154	1800
79	156	1796
80	157	1792
81	159	1788
82	161	1784
83	163	1780
84	165	1776
85	167	1777
86	169	1775
87	171	1772
88	173	1770
89	174	1768
90	177	1768
91	179	1768
92	181	1766
93	183	1768
94	185	1766
95	187	1763
96	188	1759
97	190	1755
98	192	1753
99	194	1749
100	196	1746
101	197	1742
102	199	1740
103	201	1738
104	203	1734
105	205	1731
106	207	1730
107	209	1728
108	211	1725
109	212	1723
110	215	1722
111	216	1719
112	218	1716
113	220	1712
114	222	1709
115	223	1705
116	225	1702
117	227	1699
118	229	1697
119	232	1703
120	234	1700
121	235	1697
122	237	1693
123	239	1691
124	241	1689
125	243	1686
126	244	1684
127	246	1681
128	248	1681
129	250	1679
130	252	1676
131	254	1673
132	256	1670
133	258	1667
134	259	1665
135	261	1663
136	263	1660
137	265	1657
138	267	1654
139	268	1651
140	270	1648
141	272	1645
142	274	1642
143	275	1639
144	277	1637
145	279	1634
146	281	1632
147	283	1629
148	284	1626
149	286	1623
150	288	1620
151	290	1617
152	291	1615
153	293	1612
154	295	1610
155	297	1607
156	298	1605
157	300	1602
158	302	1599
159	304	1597
160	306	1594
161	307	1592
162	309	1589
163	311	1587
164	313	1584
165	314	1581
166	316	1579
167	318	1576
168	320	1574
169	321	1571
170	323	1569
171	325	1566
172	327	1564
173	328	1561
174	330	1559
175	332	1556
176	334	1553
177	335	1551
178	337	1549
179	339	1546
180	341	1544
181	343	1541
182	344	1539
183	346	1536
184	348	1535
185	350	1532
186	351	1530
187	353	1527
188	355	1525
189	357	1523
190	359	1521
191	361	1519
192	362	1517
193	364	1514
194	366	1512
195	368	1510
196	369	1508
197	371	1506
198	373	1503
199	375	1501
200	377	1499
201	378	1497
202	380	1494
203	382	1492
204	384	1490
205	385	1487
206	387	1485
207	389	1483
208	391	1480
209	392	1478
210	394	1475
211	396	1473
212	398	1471
213	399	1469
214	401	1466
215	403	1464
216	405	1462
217	407	1460
218	408	1457
219	410	1455
220	412	1453
221	413	1450
222	415	1448
223	417	1446
224	419	1444
225	421	1442
226	423	1440
227	424	1438
228	426	1436
229	428	1433
230	430	1431
231	431	1429
232	433	1427
233	435	1425
234	437	1424
235	440	1425
236	442	1426
237	445	1425
238	446	1422
239	448	1420
240	450	1418
241	452	1417
242	454	1415
243	456	1413
244	458	1413
245	461	1413
246	462	1411
247	465	1410
248	467	1408
249	468	1406
250	470	1404
251	472	1401
252	474	1401
253	476	1400
254	478	1398
255	480	1396
256	482	1393
257	483	1391
258	485	1389
259	487	1387
260	489	1385
261	491	1385
262	493	1384
263	496	1383
264	497	1381
265	499	1378
266	501	1376
267	503	1374
268	505	1372
269	507	1372
270	510	1372
271	511	1370
272	513	1368
273	516	1367
274	517	1365
275	519	1363
276	521	1361
277	524	1360
278	526	1359
279	527	1357
280	529	1354
281	531	1352
282	533	1350
283	535	1349
284	536	1347
285	555	1386
286	557	1385
287	559	1383
288	561	1380
289	563	1378
290	564	1376
291	566	1373
292	568	1371
293	570	1369
294	572	1369
295	574	1367
296	576	1364
297	578	1362
298	580	1360
299	582	1358
300	583	1355
301	585	1353
302	587	1351
303	589	1349
304	591	1348
305	593	1345
306	595	1343
307	597	1341
308	598	1338
309	600	1337
310	602	1335
311	604	1334
312	606	1332
313	608	1329
314	610	1327
315	612	1325
316	614	1322
317	615	1320
318	617	1318
319	619	1315
320	621	1314
321	623	1311
322	625	1310
323	626	1307
324	628	1305
325	630	1303
326	632	1300
327	633	1298
328	635	1296
329	637	1294
330	639	1292
331	641	1289
332	642	1287
333	644	1285
334	646	1283
335	648	1280
336	649	1278
337	651	1276
338	653	1274
339	655	1272
340	657	1269
341	658	1267
342	660	1265
343	662	1263
344	664	1260
345	665	1258
346	667	1256
347	669	1254
348	671	1251
349	672	1249
350	674	1247
351	675	1244
352	677	1241
353	679	1239
354	681	1237
355	682	1235
356	684	1233
357	686	1230
358	688	1228
359	689	1226
360	691	1224
361	693	1222
362	695	1219
363	696	1217
364	698	1215
365	700	1213
366	702	1211
367	703	1208
368	705	1206
369	707	1204
370	709	1202
371	711	1200
372	712	1198
373	714	1196
374	716	1194
375	718	1191
376	719	1189
