iter	Logloss
0	0.6895543204
1	0.6856795947
2	0.6799083816
3	0.6747719447
4	0.6720373366
5	0.667678727
6	0.6635196474
7	0.6602363586
8	0.6563089159
9	0.6525521808
10	0.6489907371
11	0.6456383069
12	0.6418205367
13	0.6378824446
14	0.6341703203
15	0.6311098735
16	0.6271602843
17	0.6224801805
18	0.6205002467
19	0.6164413558
20	0.6122891638
21	0.6095773379
22	0.6059476535
23	0.6018680996
24	0.5984928873
25	0.5949347814
26	0.5906562275
27	0.5863666534
28	0.5820903778
29	0.5788901647
30	0.5764928394
31	0.5735747019
32	0.5704985725
33	0.5675354004
34	0.5630274879
35	0.5592327118
36	0.5557059182
37	0.5530432595
38	0.5501295726
39	0.5492803786
40	0.5468567742
41	0.5431604385
42	0.5397689607
43	0.5376534992
44	0.5346307755
45	0.5320210987
46	0.5285552343
47	0.5255762736
48	0.5220614009
49	0.519604471
50	0.5172575845
51	0.5142218272
52	0.5116109318
53	0.5092288123
54	0.506465488
55	0.5038859049
56	0.500729137
57	0.4972435633
58	0.4944444762
59	0.4921642409
60	0.4896059566
61	0.4868102603
62	0.4841626485
63	0.481809987
64	0.4793452687
65	0.4765433205
66	0.4729644987
67	0.470220036
68	0.466852506
69	0.4634421666
70	0.4604769813
71	0.4584340519
72	0.4561721484
73	0.4536454413
74	0.4510238965
75	0.4499368138
76	0.4476728439
77	0.4449281163
78	0.4419805209
79	0.4396074613
80	0.4380243089
81	0.4350528452
82	0.4322662354
83	0.4304618306
84	0.4278658231
85	0.4251908196
86	0.4232407146
87	0.4217729568
88	0.4202627606
89	0.4176371892
90	0.4153073099
91	0.4126234584
92	0.4104970561
93	0.4078683588
94	0.4055412081
95	0.4034845299
96	0.4014661577
97	0.3989653058
98	0.3962094784
99	0.3941463364
100	0.3918543392
101	0.3897370762
102	0.3881217374
103	0.3852799204
104	0.3829502
105	0.3810474608
106	0.3783436351
107	0.3764564196
108	0.3749901189
109	0.3735561371
110	0.3722828229
111	0.370547586
112	0.368449423
113	0.3662032816
114	0.3641103109
115	0.3620160156
116	0.3600637648
117	0.3588313791
118	0.3577619394
119	0.3561837938
120	0.3549670113
121	0.3529603746
122	0.3513675531
123	0.3493116167
124	0.3476305538
125	0.3459466828
126	0.3450459904
127	0.3435720073
128	0.3420898649
129	0.3403616216
130	0.3390984005
131	0.3373643557
132	0.3358541595
133	0.3338450061
134	0.3318835894
135	0.3292310238
136	0.3279121717
137	0.325788233
138	0.3245257537
139	0.3226114909
140	0.3208303452
141	0.3185826937
142	0.3170432515
143	0.3157157898
144	0.3144772318
145	0.3130636215
146	0.3115373717
147	0.3097097874
148	0.3086364004
149	0.3068546189
150	0.305223359
151	0.3034059207
152	0.3021069103
153	0.3006890085
154	0.2992428144
155	0.2976656225
156	0.2962269518
157	0.2954612308
158	0.2939884928
159	0.2927202119
160	0.2911963463
161	0.2903881603
162	0.2895934847
163	0.2883565956
164	0.2869795163
165	0.2852074305
166	0.2838013437
167	0.2824106216
168	0.2814064821
169	0.2800958951
170	0.2790733178
171	0.2777853542
172	0.2766813172
173	0.2758262952
174	0.2744841841
175	0.273478561
176	0.2719216347
177	0.2712172402
178	0.2699707879
179	0.2688251601
180	0.2674365309
181	0.2664340867
182	0.2651657793
183	0.2639660305
184	0.2631866402
185	0.2621893088
186	0.2604951594
187	0.2591279348
188	0.2581779162
189	0.2568132612
190	0.2559803062
191	0.2551387681
192	0.2537156476
193	0.2524861495
194	0.251458221
195	0.2503347662
196	0.2493845622
197	0.2486364047
198	0.2481313017
199	0.2471448051
200	0.2464008861
201	0.2454537816
202	0.2444047663
203	0.2434118854
204	0.2427769767
205	0.2415903409
206	0.2404301961
207	0.2391028669
208	0.2383463913
209	0.2371255557
210	0.2360877461
211	0.2349845303
212	0.2342400551
213	0.2330949571
214	0.2325839731
215	0.230932739
216	0.2300154368
217	0.2293415334
218	0.2282676697
219	0.2271418571
220	0.2260698742
221	0.2252540059
222	0.2242147658
223	0.2234736019
224	0.2225959036
225	0.2220714092
226	0.221788115
227	0.2206848727
228	0.2201227082
229	0.2194500499
230	0.2188447184
231	0.2178297175
232	0.2165544033
233	0.2156341606
234	0.2149176863
235	0.2141406536
236	0.2133003473
237	0.212243504
238	0.2117416991
239	0.2106128799
240	0.2095246315
241	0.2087035577
242	0.2079834011
243	0.2075169086
244	0.2067168024
245	0.205390109
246	0.2047699028
247	0.204201089
248	0.203244196
249	0.2025532987
250	0.2019238472
251	0.2013310989
252	0.2004517184
253	0.1995704969
254	0.1988309754
255	0.19820412
256	0.1976136896
257	0.1970923742
258	0.19657539
259	0.1960579422
260	0.1953349511
261	0.1942537361
262	0.1937458515
263	0.1926938693
264	0.1921949652
265	0.1914988889
266	0.1908904182
267	0.1901844343
268	0.189502769
269	0.1884891987
270	0.1878934966
271	0.1871913539
272	0.1868011289
273	0.1863476038
274	0.1858041816
275	0.1853923665
276	0.1849048138
277	0.1841351721
278	0.1837067737
279	0.183021307
280	0.1821219921
281	0.1816777653
282	0.1809865634
283	0.1806446181
284	0.1802441941
285	0.1797040568
286	0.1790516906
287	0.1784194311
288	0.1778161261
289	0.1773090363
290	0.1763169765
291	0.175861862
292	0.1754407353
293	0.1750196351
294	0.1744502121
295	0.1740683715
296	0.1732058525
297	0.1726023621
298	0.1719359159
299	0.1714463764
300	0.1708866225
301	0.1706556347
302	0.1699711349
303	0.169540498
304	0.1684990062
305	0.1681235234
306	0.1677414974
307	0.1670858463
308	0.1666980717
309	0.1661697229
310	0.1656883823
311	0.1650658449
312	0.1646819115
313	0.1640061802
314	0.1636264854
315	0.1629781458
316	0.162437439
317	0.1619988547
318	0.1616563267
319	0.1608547899
320	0.1599644555
321	0.1594251792
322	0.1591062016
323	0.1584209071
324	0.1578546233
325	0.1574769815
326	0.1569004721
327	0.1561951372
328	0.155543526
329	0.1552842988
330	0.1547804938
331	0.1543294324
332	0.1540109317
333	0.1538459195
334	0.1532692379
335	0.1527577241
336	0.1523660289
337	0.1518734296
338	0.1511574454
339	0.150446852
340	0.1499853002
341	0.1496469577
342	0.1494146718
343	0.1490309768
344	0.1485322581
345	0.1480226252
346	0.1475539737
347	0.1472199361
348	0.1469569604
349	0.1464617782
350	0.1458480623
351	0.1454075178
352	0.1449845102
353	0.1447073354
354	0.1444372866
355	0.1440658569
356	0.1435232957
357	0.1431049638
358	0.1428671413
359	0.1423221694
360	0.1420399083
361	0.1416608095
362	0.1412809955
363	0.1407945686
364	0.1402852005
365	0.1400227812
366	0.1395596398
367	0.1393101348
368	0.1388223039
369	0.1383392281
370	0.1378828949
371	0.137613429
372	0.1371663941
