,threshold,test_recall_score,test_f1_score,test_precision_score
6,2.0746483259756313e-05,1.0,0.052565707133917394,0.02699228791773779
7,2.108237373045395e-05,1.0,0.05283018867924528,0.027131782945736434
8,2.4627380783515992e-05,1.0,0.05303030303030304,0.027237354085603113
9,2.653350479808134e-05,1.0,0.053097345132743355,0.02727272727272727
10,2.7742909730439932e-05,1.0,0.0535031847133758,0.0274869109947644
11,2.7746349626134767e-05,1.0,0.05377720870678617,0.02763157894736842
12,2.86900206259604e-05,1.0,0.05391527599486522,0.027704485488126648
13,2.8930256386814586e-05,1.0,0.05585106382978723,0.028727770177838577
14,2.8983225308397943e-05,1.0,0.0559254327563249,0.028767123287671233
15,2.9531922937157576e-05,1.0,0.057298772169167796,0.02949438202247191
16,3.155976818096775e-05,1.0,0.05882352941176471,0.030303030303030304
17,3.204344272038612e-05,1.0,0.05898876404494382,0.030390738060781478
18,3.208577799011576e-05,1.0,0.05907172995780591,0.030434782608695653
19,3.53295187142527e-05,1.0,0.0608695652173913,0.03139013452914798
20,3.534775118502494e-05,1.0,0.061224489795918366,0.031578947368421054
21,3.714188986614756e-05,1.0,0.061764705882352944,0.03186646433990895
22,3.717599138658017e-05,1.0,0.06222222222222223,0.03211009174311927
23,3.73274303600233e-05,1.0,0.06334841628959276,0.03271028037383177
24,3.7869221153162385e-05,1.0,0.06354009077155826,0.0328125
25,3.7913354087129085e-05,1.0,0.06422018348623854,0.03317535545023697
26,3.8653305744029396e-05,1.0,0.06431852986217458,0.03322784810126582
27,3.9301242850087854e-05,1.0,0.06501547987616098,0.0336
28,3.936378774717852e-05,1.0,0.0655226209048362,0.03387096774193549
29,3.947655321731329e-05,1.0,0.065625,0.033925686591276254
30,3.98071063656068e-05,1.0,0.06624605678233439,0.03425774877650897
31,4.009295271055496e-05,1.0,0.0665610142630745,0.03442622950819672
32,4.0578928185649654e-05,1.0,0.06677265500794913,0.03453947368421053
33,4.114474184060975e-05,1.0,0.0672,0.0347682119205298
34,4.205655593734598e-05,1.0,0.067524115755627,0.03494176372712146
35,4.71132429240364e-05,1.0,0.0676328502415459,0.035
36,4.835837194097684e-05,1.0,0.06807131280388978,0.03523489932885906
37,4.929202922515998e-05,1.0,0.06862745098039216,0.03553299492385787
38,5.0734432325014464e-05,1.0,0.06942148760330577,0.03595890410958904
39,5.11149209495571e-05,1.0,0.06976744186046512,0.03614457831325301
40,5.145001394111025e-05,1.0,0.07,0.03626943005181347
41,5.4734223401141805e-05,1.0,0.07023411371237459,0.036395147313691506
42,5.8026877411535005e-05,1.0,0.07094594594594596,0.03677758318739054
43,5.992952348528624e-05,1.0,0.07118644067796609,0.03690685413005272
44,6.14447341147152e-05,1.0,0.07130730050933785,0.03697183098591549
45,6.160478918496761e-05,1.0,0.07228915662650602,0.0375
46,6.777887148101406e-05,1.0,0.07241379310344828,0.03756708407871199
47,6.844348560012437e-05,1.0,0.07253886010362695,0.03763440860215054
48,6.946002601721837e-05,1.0,0.07317073170731708,0.0379746835443038
49,7.277317361829098e-05,1.0,0.07342657342657341,0.038112522686025406
50,7.357530287294363e-05,1.0,0.0735551663747811,0.038181818181818185
51,7.561805368811554e-05,1.0,0.07368421052631578,0.03825136612021858
52,7.619244318280834e-05,1.0,0.07407407407407407,0.038461538461538464
53,8.21175044818622e-05,1.0,0.0743362831858407,0.03860294117647059
54,8.435844596153268e-05,1.0,0.07460035523978686,0.03874538745387454
55,8.48081434995503e-05,1.0,0.07513416815742396,0.03903345724907063
56,8.801649944782166e-05,1.0,0.07526881720430108,0.03910614525139665
